Type	POS	Headword	Rank	Freq_Tar	Freq_Ref	Range_Tar	Range_Ref	NormFreq_Tar	NormFreq_Ref	NormRange_Tar	NormRange_Ref	Keyness (Likelihood)	Keyness (Effect)
decreased			320	6	1	1	1	405.077	99.384	1.000	1.000	2.290	0.001
molar			320	6	1	1	1	405.077	99.384	1.000	1.000	2.290	0.001
chest			336	11	3	1	1	742.641	298.151	1.000	1.000	2.288	0.001
causes			336	11	3	1	1	742.641	298.151	1.000	1.000	2.288	0.001
present			338	27	11	1	1	1822.846	1093.222	1.000	1.000	2.180	0.004
autoantibody			339	2	0	1	0	135.026	0.000	1.000	0.000	2.074	0.000
avoided			339	2	0	1	0	135.026	0.000	1.000	0.000	2.074	0.000
avoiding			339	2	0	1	0	135.026	0.000	1.000	0.000	2.074	0.000
carcinoid			339	2	0	1	0	135.026	0.000	1.000	0.000	2.074	0.000
alone			339	2	0	1	0	135.026	0.000	1.000	0.000	2.074	0.000
angiography			339	2	0	1	0	135.026	0.000	1.000	0.000	2.074	0.000
beneath			339	2	0	1	0	135.026	0.000	1.000	0.000	2.074	0.000
brainstem			339	2	0	1	0	135.026	0.000	1.000	0.000	2.074	0.000
bite			339	2	0	1	0	135.026	0.000	1.000	0.000	2.074	0.000
benzodiazepines			339	2	0	1	0	135.026	0.000	1.000	0.000	2.074	0.000
benzodiazepine			339	2	0	1	0	135.026	0.000	1.000	0.000	2.074	0.000
benefits			339	2	0	1	0	135.026	0.000	1.000	0.000	2.074	0.000
Pioglitazone			339	2	0	1	0	135.026	0.000	1.000	0.000	2.074	0.000
capillary			339	2	0	1	0	135.026	0.000	1.000	0.000	2.074	0.000
acting			339	2	0	1	0	135.026	0.000	1.000	0.000	2.074	0.000
activated			339	2	0	1	0	135.026	0.000	1.000	0.000	2.074	0.000
activities			339	2	0	1	0	135.026	0.000	1.000	0.000	2.074	0.000
agents			339	2	0	1	0	135.026	0.000	1.000	0.000	2.074	0.000
aim			339	2	0	1	0	135.026	0.000	1.000	0.000	2.074	0.000
antinuclear			339	2	0	1	0	135.026	0.000	1.000	0.000	2.074	0.000
antiplatelet			339	2	0	1	0	135.026	0.000	1.000	0.000	2.074	0.000
appendage			339	2	0	1	0	135.026	0.000	1.000	0.000	2.074	0.000
