Type	POS	Headword	Rank	Freq_Tar	Freq_Ref	Range_Tar	Range_Ref	NormFreq_Tar	NormFreq_Ref	NormRange_Tar	NormRange_Ref	Keyness (Likelihood)	Keyness (Effect)
first			198	21	16	1	1	2087.268	1080.205	1.000	1.000	3.993	0.004
either			199	6	2	1	1	596.362	135.026	1.000	1.000	3.939	0.001
treat			199	6	2	1	1	596.362	135.026	1.000	1.000	3.939	0.001
HER			199	6	2	1	1	596.362	135.026	1.000	1.000	3.939	0.001
panagglutinin			199	6	2	1	1	596.362	135.026	1.000	1.000	3.939	0.001
between			203	13	8	1	1	1292.118	540.103	1.000	1.000	3.920	0.003
typical			204	14	9	1	1	1391.512	607.615	1.000	1.000	3.888	0.003
does			205	27	23	1	1	2683.630	1552.795	1.000	1.000	3.733	0.005
inferior			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
incidence			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
included			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
hypokalemic			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
expect			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
intellectual			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
immature			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
ventilation			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
vegetative			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
full			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
gives			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
lot			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
looking			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
healthy			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
lesser			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
floor			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
flexing			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
formula			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
forward			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
each			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
easily			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
frequency			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
down			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
myopia			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
echo			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
magna			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
neoplasms			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
maneuver			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
empyematization			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
entry			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
esophageal			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
etc			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
evanescent			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
dealing			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
defined			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
definition			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
demonstrated			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
deposited			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
insulin			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
intensity			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
fix			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
expression			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
intermediate			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
leaves			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
intramedullary			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
livestock			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
macroscopic			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
comment			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
closed			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
choluria			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
characteristically			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
certain			206	2	0	1	0	198.787	0.000	1.000	0.000	3.621	0.000
